34	148	19531	481219	392
34	149	19532	55178	166
34	151	19534	32918	141
34	152	19537	7677	74
34	154	19539	6754	68
34	157	19549	2103	40
34	158	19562	559	22
34	160	19564	927	26
34	163	19574	423	16
34	167	19624	6	2
34	170	19689	71	8
34	173	19699	60	6
34	183	20324	6	2
33	106	3906	1802251	688
33	107	3907	330728	327
33	109	3909	176440	268
33	110	3912	45819	154
33	112	3914	36192	126
33	115	3924	10040	68
33	116	3937	3129	46
33	118	3939	4872	50
33	121	3949	1983	27
33	125	3999	21	3
33	128	4064	336	14
33	131	4074	270	10
33	141	4699	21	3
33	148	19531	14998189	2492
33	149	19532	2480528	1156
33	150	19533	32918	141
33	151	19534	1205344	856
33	152	19537	372478	586
33	153	19538	6754	68
33	154	19539	262249	407
33	156	19544	2103	40
33	157	19549	65871	188
33	158	19562	28628	195
33	159	19563	927	26
33	160	19564	37233	177
33	162	19569	423	16
33	163	19574	13396	75
33	166	19599	6	2
33	167	19624	132	6
33	168	19687	339	21
33	169	19688	71	8
33	170	19689	2714	48
33	172	19694	60	6
33	173	19699	1832	27
33	180	20314	20	3
33	182	20319	6	2
33	183	20324	132	6
32	70	781	3755158	809
32	71	782	820608	400
32	73	784	404880	323
32	74	787	115929	192
32	76	789	84417	152
32	79	799	21835	82
32	80	812	8274	60
32	82	814	11727	60
32	85	824	4428	32
32	89	874	56	4
32	92	939	861	18
32	95	949	630	12
32	105	1574	56	4
32	106	3906	39405614	3776
32	107	3907	8647683	1909
32	108	3908	176440	268
32	109	3909	3779361	1349
32	110	3912	1319050	971
32	111	3913	36192	126
32	112	3914	826749	635
32	114	3919	10040	68
32	115	3924	187731	277
32	116	3937	105732	323
32	117	3938	4872	50
32	118	3939	119092	272
32	120	3944	1983	27
32	121	3949	38319	108
32	124	3974	21	3
32	125	3999	387	8
32	126	4062	1744	39
32	127	4063	336	14
32	128	4064	8961	72
32	130	4069	270	10
32	131	4074	5310	38
32	138	4689	90	5
32	140	4694	21	3
32	141	4699	387	8
32	148	19531	161148097	9198
32	149	19532	33815132	4609
32	150	19533	1205344	856
32	151	19534	13524160	2964
32	152	19537	5574335	2410
32	153	19538	262249	407
32	154	19539	3143622	1460
32	155	19543	2103	40
32	156	19544	65871	188
32	157	19549	654052	572
32	158	19562	493834	843
32	159	19563	37233	177
32	160	19564	479565	636
32	161	19568	423	16
32	162	19569	13396	75
32	163	19574	139219	224
32	165	19594	6	2
32	166	19599	132	6
32	167	19624	1418	15
32	168	19687	12389	139
32	169	19688	2714	48
32	170	19689	38112	172
32	171	19693	60	6
32	172	19694	1832	27
32	173	19699	19780	80
32	178	20312	44	6
32	179	20313	20	3
32	180	20314	567	16
32	181	20318	6	2
32	182	20319	132	6
32	183	20324	1418	15
